Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:!  Frec:3956  LogProb:-3.5725543730724443
Palabra:#  Frec:1  LogProb:-11.855543065815047
Palabra:#$%#  Frec:2  LogProb:-11.162395885255101
Palabra:#'s  Frec:2  LogProb:-11.162395885255101
Palabra:#1  Frec:3  LogProb:-10.756930777146938
Palabra:#2  Frec:1  LogProb:-11.855543065815047
Palabra:#5  Frec:2  LogProb:-11.162395885255101
Palabra:#6wordepitaph  Frec:2  LogProb:-11.162395885255101
Palabra:#ALB  Frec:1  LogProb:-11.855543065815047
Palabra:#Awesomeness  Frec:2  LogProb:-11.162395885255101
Palabra:#bad_wookie_pun  Frec:1  LogProb:-11.855543065815047
Palabra:#blcks  Frec:2  LogProb:-11.162395885255101
Palabra:#business  Frec:1  LogProb:-11.855543065815047
Palabra:#canadawest  Frec:1  LogProb:-11.855543065815047
Palabra:#coffee  Frec:2  LogProb:-11.162395885255101
Palabra:#cunt  Frec:2  LogProb:-11.162395885255101
Palabra:#damn-fridays  Frec:1  LogProb:-11.855543065815047
Palabra:#dead_by_january_i_didnt_sign_up_for_this_shit  Frec:1  LogProb:-11.855543065815047
Palabra:#design  Frec:1  LogProb:-11.855543065815047
Palabra:#dickmode  Frec:2  LogProb:-11.162395885255101
Palabra:#digg(  Frec:2  LogProb:-11.162395885255101
Palabra:#down-ass-bitches  Frec:1  LogProb:-11.855543065815047
Palabra:#entertainment  Frec:2  LogProb:-11.162395885255101
Palabra:#firstcar  Frec:2  LogProb:-11.162395885255101
Palabra:#fitfam  Frec:2  LogProb:-11.162395885255101
Palabra:#flo  Frec:2  LogProb:-11.162395885255101
Palabra:#gaza  Frec:1  LogProb:-11.855543065815047
Palabra:#gno  Frec:2  LogProb:-11.162395885255101
Palabra:#green  Frec:1  LogProb:-11.855543065815047
Palabra:#hhrs  Frec:2  LogProb:-11.162395885255101
Palabra:#humor  Frec:2  LogProb:-11.162395885255101
Palabra:#isdoingitwrong  Frec:2  LogProb:-11.162395885255101
Palabra:#journchat  Frec:2  LogProb:-11.162395885255101
Palabra:#LeWeb  Frec:1  LogProb:-11.855543065815047
Palabra:#magpie  Frec:2  LogProb:-11.162395885255101
Palabra:#NAME  Frec:15  LogProb:-9.147492864712836
Palabra:#nerd  Frec:1  LogProb:-11.855543065815047
Palabra:#NH  Frec:1  LogProb:-11.855543065815047
Palabra:#nyetwarty  Frec:2  LogProb:-11.162395885255101
Palabra:#oldschoolftw  Frec:2  LogProb:-11.162395885255101
Palabra:#Paypal  Frec:1  LogProb:-11.855543065815047
Palabra:#Random  Frec:2  LogProb:-11.162395885255101
Palabra:#socialmedia  Frec:1  LogProb:-11.855543065815047
Palabra:#spokane  Frec:2  LogProb:-11.162395885255101
Palabra:#supergay  Frec:1  LogProb:-11.855543065815047
Palabra:#TCOT  Frec:3  LogProb:-10.756930777146938
Palabra:#TeamBlack  Frec:2  LogProb:-11.162395885255101
Palabra:#tequilaggedon  Frec:2  LogProb:-11.162395885255101
Palabra:#text  Frec:2  LogProb:-11.162395885255101
Palabra:#twitpanto  Frec:1  LogProb:-11.855543065815047
Palabra:#twitter  Frec:2  LogProb:-11.162395885255101
Palabra:#wiifitenthused  Frec:2  LogProb:-11.162395885255101
Palabra:#WUW  Frec:1  LogProb:-11.855543065815047
Palabra:$  Frec:2  LogProb:-11.162395885255101
Palabra:$$  Frec:3  LogProb:-10.756930777146938
Palabra:$$$$  Frec:2  LogProb:-11.162395885255101
Palabra:$$H  Frec:1  LogProb:-11.855543065815047
Palabra:$1  Frec:3  LogProb:-10.756930777146938
Palabra:$10  Frec:2  LogProb:-11.162395885255101
Palabra:$100  Frec:3  LogProb:-10.756930777146938
Palabra:$1000  Frec:2  LogProb:-11.162395885255101
Palabra:$100k  Frec:2  LogProb:-11.162395885255101
Palabra:$1200  Frec:1  LogProb:-11.855543065815047
Palabra:$13400  Frec:2  LogProb:-11.162395885255101
Palabra:$16  Frec:2  LogProb:-11.162395885255101
Palabra:$1600  Frec:2  LogProb:-11.162395885255101
Palabra:$2  Frec:2  LogProb:-11.162395885255101
Palabra:$260  Frec:1  LogProb:-11.855543065815047
Palabra:$3$  Frec:2  LogProb:-11.162395885255101
Palabra:$3D  Frec:2  LogProb:-11.162395885255101
Palabra:$3x  Frec:3  LogProb:-10.756930777146938
Palabra:$3xy  Frec:3  LogProb:-10.756930777146938
Palabra:$4k  Frec:1  LogProb:-11.855543065815047
Palabra:$5  Frec:4  LogProb:-10.469248704695156
Palabra:$50  Frec:2  LogProb:-11.162395885255101
Palabra:$60  Frec:1  LogProb:-11.855543065815047
Palabra:$7  Frec:1  LogProb:-11.855543065815047
Palabra:$8  Frec:1  LogProb:-11.855543065815047
Palabra:$800  Frec:2  LogProb:-11.162395885255101
Palabra:$99  Frec:2  LogProb:-11.162395885255101
Palabra:$h  Frec:2  LogProb:-11.162395885255101
Palabra:$M  Frec:2  LogProb:-11.162395885255101
Palabra:$R3  Frec:2  LogProb:-11.162395885255101
Palabra:$vv3  Frec:2  LogProb:-11.162395885255101
Palabra:$w3  Frec:2  LogProb:-11.162395885255101
Palabra:$Z  Frec:2  LogProb:-11.162395885255101
Palabra:&  Frec:2  LogProb:-11.162395885255101
Palabra:&a  Frec:2  LogProb:-11.162395885255101
Palabra:&bring  Frec:1  LogProb:-11.855543065815047
Palabra:&brother  Frec:1  LogProb:-11.855543065815047
Palabra:&just  Frec:1  LogProb:-11.855543065815047
Palabra:'  Frec:4  LogProb:-10.469248704695156
Palabra:''  Frec:2  LogProb:-11.162395885255101
Palabra:''fake''  Frec:2  LogProb:-11.162395885255101
Palabra:''jaybee  Frec:3  LogProb:-10.756930777146938
Palabra:''people''  Frec:2  LogProb:-11.162395885255101
Palabra:''Santa  Frec:2  LogProb:-11.162395885255101
Palabra:'(  Frec:4  LogProb:-10.469248704695156
Palabra:'/  Frec:2  LogProb:-11.162395885255101
Palabra:'05  Frec:3  LogProb:-10.756930777146938
Palabra:'09  Frec:3  LogProb:-10.756930777146938
Palabra:'2012'  Frec:2  LogProb:-11.162395885255101
Palabra:'89  Frec:2  LogProb:-11.162395885255101
Palabra:'93  Frec:1  LogProb:-11.855543065815047
Palabra:'a  Frec:2  LogProb:-11.162395885255101
Palabra:'afro-centric  Frec:2  LogProb:-11.162395885255101
Palabra:'Bah  Frec:2  LogProb:-11.162395885255101
Palabra:'blah'  Frec:2  LogProb:-11.162395885255101
Palabra:'Buffy'  Frec:1  LogProb:-11.855543065815047
Palabra:'cause  Frec:1  LogProb:-11.855543065815047
Palabra:'Comedy  Frec:2  LogProb:-11.162395885255101
Palabra:'Command'  Frec:2  LogProb:-11.162395885255101
Palabra:'convince'  Frec:2  LogProb:-11.162395885255101
Palabra:'couldn't  Frec:2  LogProb:-11.162395885255101
Palabra:'cunt'  Frec:2  LogProb:-11.162395885255101
Palabra:'cuz  Frec:2  LogProb:-11.162395885255101
Palabra:'damn  Frec:2  LogProb:-11.162395885255101
Palabra:'defend'  Frec:1  LogProb:-11.855543065815047
Palabra:'dick  Frec:2  LogProb:-11.162395885255101
Palabra:'dumbfuck'  Frec:1  LogProb:-11.855543065815047
Palabra:'em  Frec:10  LogProb:-9.552957972821002
Palabra:'fail  Frec:2  LogProb:-11.162395885255101
Palabra:'firsts'  Frec:1  LogProb:-11.855543065815047
Palabra:'fuck  Frec:2  LogProb:-11.162395885255101
Palabra:'fuck'  Frec:1  LogProb:-11.855543065815047
Palabra:'gezegt'  Frec:1  LogProb:-11.855543065815047
Palabra:'good  Frec:1  LogProb:-11.855543065815047
Palabra:'hate'  Frec:2  LogProb:-11.162395885255101
Palabra:'How  Frec:3  LogProb:-10.756930777146938
Palabra:'hun'  Frec:1  LogProb:-11.855543065815047
Palabra:'I  Frec:1  LogProb:-11.855543065815047
Palabra:'in  Frec:1  LogProb:-11.855543065815047
Palabra:'kin  Frec:2  LogProb:-11.162395885255101
Palabra:'Look  Frec:2  LogProb:-11.162395885255101
Palabra:'love'  Frec:2  LogProb:-11.162395885255101
Palabra:'m  Frec:2  LogProb:-11.162395885255101
Palabra:'meow'  Frec:2  LogProb:-11.162395885255101
Palabra:'metric  Frec:2  LogProb:-11.162395885255101
Palabra:'Morning  Frec:1  LogProb:-11.855543065815047
Palabra:'mummy  Frec:2  LogProb:-11.162395885255101
Palabra:'my  Frec:2  LogProb:-11.162395885255101
Palabra:'NAM  Frec:1  LogProb:-11.855543065815047
Palabra:'net  Frec:1  LogProb:-11.855543065815047
Palabra:'Nucks  Frec:2  LogProb:-11.162395885255101
Palabra:'O  Frec:2  LogProb:-11.162395885255101
Palabra:'Oh  Frec:2  LogProb:-11.162395885255101
Palabra:'online'  Frec:2  LogProb:-11.162395885255101
Palabra:'pigpen'  Frec:2  LogProb:-11.162395885255101
Palabra:'qbarq'  Frec:2  LogProb:-11.162395885255101
Palabra:'reply'  Frec:1  LogProb:-11.855543065815047
Palabra:'Running  Frec:1  LogProb:-11.855543065815047
Palabra:'s  Frec:4  LogProb:-10.469248704695156
Palabra:'Specially  Frec:2  LogProb:-11.162395885255101
Palabra:'spherical  Frec:2  LogProb:-11.162395885255101
Palabra:'sucks'  Frec:2  LogProb:-11.162395885255101
Palabra:'super  Frec:2  LogProb:-11.162395885255101
Palabra:'surprise'  Frec:2  LogProb:-11.162395885255101
Palabra:'sux'  Frec:2  LogProb:-11.162395885255101
Palabra:'talking  Frec:2  LogProb:-11.162395885255101
Palabra:'TARDFULNESS  Frec:1  LogProb:-11.855543065815047
Palabra:'the  Frec:2  LogProb:-11.162395885255101
Palabra:'thunking'  Frec:1  LogProb:-11.855543065815047
Palabra:'til  Frec:2  LogProb:-11.162395885255101
