Número de documentos del corpus:6741
Número de palabras del corpus:96146
Palabra:!  Frec:4210  LogProb:-1.788587380921911
Palabra:#  Frec:4  LogProb:-8.747510946478448
Palabra:#$%#  Frec:1  LogProb:-10.133805307598339
Palabra:#'s  Frec:1  LogProb:-10.133805307598339
Palabra:#1  Frec:3  LogProb:-9.035193018930228
Palabra:#2  Frec:3  LogProb:-9.035193018930228
Palabra:#5  Frec:1  LogProb:-10.133805307598339
Palabra:#6wordepitaph  Frec:1  LogProb:-10.133805307598339
Palabra:#ALB  Frec:4  LogProb:-8.747510946478448
Palabra:#Awesomeness  Frec:1  LogProb:-10.133805307598339
Palabra:#bad_wookie_pun  Frec:3  LogProb:-9.035193018930228
Palabra:#blcks  Frec:1  LogProb:-10.133805307598339
Palabra:#business  Frec:4  LogProb:-8.747510946478448
Palabra:#canadawest  Frec:3  LogProb:-9.035193018930228
Palabra:#coffee  Frec:1  LogProb:-10.133805307598339
Palabra:#cunt  Frec:1  LogProb:-10.133805307598339
Palabra:#damn-fridays  Frec:3  LogProb:-9.035193018930228
Palabra:#dead_by_january_i_didnt_sign_up_for_this_shit  Frec:4  LogProb:-8.747510946478448
Palabra:#design  Frec:3  LogProb:-9.035193018930228
Palabra:#dickmode  Frec:1  LogProb:-10.133805307598339
Palabra:#digg(  Frec:1  LogProb:-10.133805307598339
Palabra:#down-ass-bitches  Frec:3  LogProb:-9.035193018930228
Palabra:#entertainment  Frec:3  LogProb:-9.035193018930228
Palabra:#firstcar  Frec:1  LogProb:-10.133805307598339
Palabra:#fitfam  Frec:1  LogProb:-10.133805307598339
Palabra:#flo  Frec:1  LogProb:-10.133805307598339
Palabra:#gaza  Frec:3  LogProb:-9.035193018930228
Palabra:#gno  Frec:1  LogProb:-10.133805307598339
Palabra:#green  Frec:3  LogProb:-9.035193018930228
Palabra:#hhrs  Frec:1  LogProb:-10.133805307598339
Palabra:#humor  Frec:1  LogProb:-10.133805307598339
Palabra:#isdoingitwrong  Frec:1  LogProb:-10.133805307598339
Palabra:#journchat  Frec:1  LogProb:-10.133805307598339
Palabra:#LeWeb  Frec:3  LogProb:-9.035193018930228
Palabra:#magpie  Frec:1  LogProb:-10.133805307598339
Palabra:#NAME  Frec:13  LogProb:-7.568855950136801
Palabra:#nerd  Frec:3  LogProb:-9.035193018930228
Palabra:#NH  Frec:7  LogProb:-8.187895158543025
Palabra:#nyetwarty  Frec:1  LogProb:-10.133805307598339
Palabra:#oldschoolftw  Frec:1  LogProb:-10.133805307598339
Palabra:#Paypal  Frec:4  LogProb:-8.747510946478448
Palabra:#Random  Frec:1  LogProb:-10.133805307598339
Palabra:#socialmedia  Frec:3  LogProb:-9.035193018930228
Palabra:#spokane  Frec:1  LogProb:-10.133805307598339
Palabra:#supergay  Frec:3  LogProb:-9.035193018930228
Palabra:#TCOT  Frec:7  LogProb:-8.187895158543025
Palabra:#TeamBlack  Frec:1  LogProb:-10.133805307598339
Palabra:#tequilaggedon  Frec:1  LogProb:-10.133805307598339
Palabra:#text  Frec:1  LogProb:-10.133805307598339
Palabra:#twitpanto  Frec:5  LogProb:-8.524367395164237
Palabra:#twitter  Frec:1  LogProb:-10.133805307598339
Palabra:#wiifitenthused  Frec:1  LogProb:-10.133805307598339
Palabra:#WUW  Frec:4  LogProb:-8.747510946478448
Palabra:$  Frec:1  LogProb:-10.133805307598339
Palabra:$$  Frec:1  LogProb:-10.133805307598339
Palabra:$$$$  Frec:3  LogProb:-9.035193018930228
Palabra:$$H  Frec:2  LogProb:-9.440658127038393
Palabra:$1  Frec:1  LogProb:-10.133805307598339
Palabra:$10  Frec:3  LogProb:-9.035193018930228
Palabra:$100  Frec:1  LogProb:-10.133805307598339
Palabra:$1000  Frec:1  LogProb:-10.133805307598339
Palabra:$100k  Frec:1  LogProb:-10.133805307598339
Palabra:$1200  Frec:4  LogProb:-8.747510946478448
Palabra:$13400  Frec:1  LogProb:-10.133805307598339
Palabra:$16  Frec:1  LogProb:-10.133805307598339
Palabra:$1600  Frec:1  LogProb:-10.133805307598339
Palabra:$2  Frec:1  LogProb:-10.133805307598339
Palabra:$260  Frec:3  LogProb:-9.035193018930228
Palabra:$3$  Frec:1  LogProb:-10.133805307598339
Palabra:$3D  Frec:1  LogProb:-10.133805307598339
Palabra:$3x  Frec:1  LogProb:-10.133805307598339
Palabra:$3xy  Frec:1  LogProb:-10.133805307598339
Palabra:$4k  Frec:4  LogProb:-8.747510946478448
Palabra:$5  Frec:1  LogProb:-10.133805307598339
Palabra:$50  Frec:4  LogProb:-8.747510946478448
Palabra:$60  Frec:4  LogProb:-8.747510946478448
Palabra:$7  Frec:6  LogProb:-8.342045838370282
Palabra:$8  Frec:3  LogProb:-9.035193018930228
Palabra:$800  Frec:1  LogProb:-10.133805307598339
Palabra:$99  Frec:1  LogProb:-10.133805307598339
Palabra:$h  Frec:1  LogProb:-10.133805307598339
Palabra:$M  Frec:1  LogProb:-10.133805307598339
Palabra:$R3  Frec:1  LogProb:-10.133805307598339
Palabra:$vv3  Frec:1  LogProb:-10.133805307598339
Palabra:$w3  Frec:1  LogProb:-10.133805307598339
Palabra:$Z  Frec:1  LogProb:-10.133805307598339
Palabra:&  Frec:1  LogProb:-10.133805307598339
Palabra:&a  Frec:1  LogProb:-10.133805307598339
Palabra:&bring  Frec:3  LogProb:-9.035193018930228
Palabra:&brother  Frec:3  LogProb:-9.035193018930228
Palabra:&just  Frec:3  LogProb:-9.035193018930228
Palabra:'  Frec:10  LogProb:-7.831220214604293
Palabra:''  Frec:1  LogProb:-10.133805307598339
Palabra:''fake''  Frec:1  LogProb:-10.133805307598339
Palabra:''jaybee  Frec:1  LogProb:-10.133805307598339
Palabra:''people''  Frec:1  LogProb:-10.133805307598339
Palabra:''Santa  Frec:1  LogProb:-10.133805307598339
Palabra:'(  Frec:10  LogProb:-7.831220214604293
Palabra:'/  Frec:1  LogProb:-10.133805307598339
Palabra:'05  Frec:1  LogProb:-10.133805307598339
Palabra:'09  Frec:1  LogProb:-10.133805307598339
Palabra:'2012'  Frec:1  LogProb:-10.133805307598339
Palabra:'89  Frec:1  LogProb:-10.133805307598339
Palabra:'93  Frec:3  LogProb:-9.035193018930228
Palabra:'a  Frec:1  LogProb:-10.133805307598339
Palabra:'afro-centric  Frec:1  LogProb:-10.133805307598339
Palabra:'Bah  Frec:1  LogProb:-10.133805307598339
Palabra:'blah'  Frec:1  LogProb:-10.133805307598339
Palabra:'Buffy'  Frec:3  LogProb:-9.035193018930228
Palabra:'cause  Frec:3  LogProb:-9.035193018930228
Palabra:'Comedy  Frec:1  LogProb:-10.133805307598339
Palabra:'Command'  Frec:1  LogProb:-10.133805307598339
Palabra:'convince'  Frec:1  LogProb:-10.133805307598339
Palabra:'couldn't  Frec:1  LogProb:-10.133805307598339
Palabra:'cunt'  Frec:1  LogProb:-10.133805307598339
Palabra:'cuz  Frec:3  LogProb:-9.035193018930228
Palabra:'damn  Frec:1  LogProb:-10.133805307598339
Palabra:'defend'  Frec:3  LogProb:-9.035193018930228
Palabra:'dick  Frec:1  LogProb:-10.133805307598339
Palabra:'dumbfuck'  Frec:2  LogProb:-9.440658127038393
Palabra:'em  Frec:11  LogProb:-7.735910034799968
Palabra:'fail  Frec:1  LogProb:-10.133805307598339
Palabra:'firsts'  Frec:3  LogProb:-9.035193018930228
Palabra:'fuck  Frec:3  LogProb:-9.035193018930228
Palabra:'fuck'  Frec:3  LogProb:-9.035193018930228
Palabra:'gezegt'  Frec:4  LogProb:-8.747510946478448
Palabra:'good  Frec:4  LogProb:-8.747510946478448
Palabra:'hate'  Frec:1  LogProb:-10.133805307598339
Palabra:'How  Frec:1  LogProb:-10.133805307598339
Palabra:'hun'  Frec:2  LogProb:-9.440658127038393
Palabra:'I  Frec:2  LogProb:-9.440658127038393
Palabra:'in  Frec:4  LogProb:-8.747510946478448
Palabra:'kin  Frec:1  LogProb:-10.133805307598339
Palabra:'Look  Frec:1  LogProb:-10.133805307598339
Palabra:'love'  Frec:1  LogProb:-10.133805307598339
Palabra:'m  Frec:1  LogProb:-10.133805307598339
Palabra:'meow'  Frec:1  LogProb:-10.133805307598339
Palabra:'metric  Frec:1  LogProb:-10.133805307598339
Palabra:'Morning  Frec:3  LogProb:-9.035193018930228
Palabra:'mummy  Frec:1  LogProb:-10.133805307598339
Palabra:'my  Frec:1  LogProb:-10.133805307598339
Palabra:'NAM  Frec:3  LogProb:-9.035193018930228
Palabra:'net  Frec:4  LogProb:-8.747510946478448
Palabra:'Nucks  Frec:1  LogProb:-10.133805307598339
Palabra:'O  Frec:1  LogProb:-10.133805307598339
Palabra:'Oh  Frec:1  LogProb:-10.133805307598339
Palabra:'online'  Frec:1  LogProb:-10.133805307598339
Palabra:'pigpen'  Frec:1  LogProb:-10.133805307598339
Palabra:'qbarq'  Frec:1  LogProb:-10.133805307598339
Palabra:'reply'  Frec:4  LogProb:-8.747510946478448
Palabra:'Running  Frec:4  LogProb:-8.747510946478448
Palabra:'s  Frec:7  LogProb:-8.187895158543025
Palabra:'Specially  Frec:1  LogProb:-10.133805307598339
Palabra:'spherical  Frec:1  LogProb:-10.133805307598339
Palabra:'sucks'  Frec:1  LogProb:-10.133805307598339
Palabra:'super  Frec:1  LogProb:-10.133805307598339
Palabra:'surprise'  Frec:1  LogProb:-10.133805307598339
Palabra:'sux'  Frec:1  LogProb:-10.133805307598339
Palabra:'talking  Frec:1  LogProb:-10.133805307598339
Palabra:'TARDFULNESS  Frec:4  LogProb:-8.747510946478448
Palabra:'the  Frec:1  LogProb:-10.133805307598339
Palabra:'thunking'  Frec:3  LogProb:-9.035193018930228
Palabra:'til  Frec:3  LogProb:-9.035193018930228
Palabra:'Twas  Frec:1  LogProb:-10.133805307598339
Palabra:'ugh  Frec:1  LogProb:-10.133805307598339
Palabra:'uncles'  Frec:1  LogProb:-10.133805307598339
Palabra:'v4sudh4'  Frec:1  LogProb:-10.133805307598339
Palabra:'Wagon'  Frec:1  LogProb:-10.133805307598339
Palabra:'washcloth'  Frec:4  LogProb:-8.747510946478448
Palabra:'YOU'  Frec:1  LogProb:-10.133805307598339
Palabra:(  Frec:116  LogProb:-5.380215116491973
Palabra:((  Frec:4  LogProb:-8.747510946478448
Palabra:(((((((((HUGS)))))))))  Frec:4  LogProb:-8.747510946478448
Palabra:(*)-)  Frec:1  LogProb:-10.133805307598339
Palabra:(*fvrd  Frec:1  LogProb:-10.133805307598339
Palabra:(+  Frec:1  LogProb:-10.133805307598339
Palabra:(+ur3  Frec:1  LogProb:-10.133805307598339
Palabra:(-_-)  Frec:1  LogProb:-10.133805307598339
Palabra:(=<454333  Frec:1  LogProb:-10.133805307598339
Palabra:(=twitter  Frec:1  LogProb:-10.133805307598339
Palabra:(hugs)  Frec:1  LogProb:-10.133805307598339
Palabra:)  Frec:301  LogProb:-4.426695042849462
Palabra:))  Frec:3  LogProb:-9.035193018930228
Palabra:)))  Frec:1  LogProb:-10.133805307598339
Palabra:)))))))))))))))))))))  Frec:1  LogProb:-10.133805307598339
Palabra:)-  Frec:4  LogProb:-8.747510946478448
Palabra:)hahagreat  Frec:1  LogProb:-10.133805307598339
Palabra:)r  Frec:1  LogProb:-10.133805307598339
Palabra:)so  Frec:1  LogProb:-10.133805307598339
Palabra:)~  Frec:1  LogProb:-10.133805307598339
