Número de documentos del corpus:9688
Número de palabras del corpus:122432
Palabra:!  Frec:3956  LogProb:-3.5268362337290156
Palabra:#$%#  Frec:2  LogProb:-11.116677745911673
Palabra:#'s  Frec:2  LogProb:-11.116677745911673
Palabra:#1  Frec:3  LogProb:-10.711212637803508
Palabra:#5  Frec:2  LogProb:-11.116677745911673
Palabra:#6wordepitaph  Frec:2  LogProb:-11.116677745911673
Palabra:#Awesomeness  Frec:2  LogProb:-11.116677745911673
Palabra:#blcks  Frec:2  LogProb:-11.116677745911673
Palabra:#coffee  Frec:2  LogProb:-11.116677745911673
Palabra:#cunt  Frec:2  LogProb:-11.116677745911673
Palabra:#dickmode  Frec:2  LogProb:-11.116677745911673
Palabra:#digg(  Frec:2  LogProb:-11.116677745911673
Palabra:#entertainment  Frec:2  LogProb:-11.116677745911673
Palabra:#firstcar  Frec:2  LogProb:-11.116677745911673
Palabra:#fitfam  Frec:2  LogProb:-11.116677745911673
Palabra:#flo  Frec:2  LogProb:-11.116677745911673
Palabra:#gaza  Frec:3  LogProb:-10.711212637803508
Palabra:#gno  Frec:2  LogProb:-11.116677745911673
Palabra:#hhrs  Frec:2  LogProb:-11.116677745911673
Palabra:#humor  Frec:2  LogProb:-11.116677745911673
Palabra:#isdoingitwrong  Frec:2  LogProb:-11.116677745911673
Palabra:#journchat  Frec:2  LogProb:-11.116677745911673
Palabra:#magpie  Frec:2  LogProb:-11.116677745911673
Palabra:#NAME  Frec:15  LogProb:-9.101774725369408
Palabra:#nyetwarty  Frec:2  LogProb:-11.116677745911673
Palabra:#oldschoolftw  Frec:2  LogProb:-11.116677745911673
Palabra:#Random  Frec:2  LogProb:-11.116677745911673
Palabra:#spokane  Frec:2  LogProb:-11.116677745911673
Palabra:#TCOT  Frec:3  LogProb:-10.711212637803508
Palabra:#TeamBlack  Frec:2  LogProb:-11.116677745911673
Palabra:#tequilaggedon  Frec:2  LogProb:-11.116677745911673
Palabra:#text  Frec:2  LogProb:-11.116677745911673
Palabra:#twitter  Frec:2  LogProb:-11.116677745911673
Palabra:#wiifitenthused  Frec:2  LogProb:-11.116677745911673
Palabra:$  Frec:2  LogProb:-11.116677745911673
Palabra:$$  Frec:3  LogProb:-10.711212637803508
Palabra:$$$$  Frec:2  LogProb:-11.116677745911673
Palabra:$1  Frec:3  LogProb:-10.711212637803508
Palabra:$10  Frec:2  LogProb:-11.116677745911673
Palabra:$100  Frec:3  LogProb:-10.711212637803508
Palabra:$1000  Frec:2  LogProb:-11.116677745911673
Palabra:$100k  Frec:2  LogProb:-11.116677745911673
Palabra:$13400  Frec:2  LogProb:-11.116677745911673
Palabra:$16  Frec:2  LogProb:-11.116677745911673
Palabra:$1600  Frec:2  LogProb:-11.116677745911673
Palabra:$2  Frec:2  LogProb:-11.116677745911673
Palabra:$3$  Frec:2  LogProb:-11.116677745911673
Palabra:$3D  Frec:2  LogProb:-11.116677745911673
Palabra:$3x  Frec:3  LogProb:-10.711212637803508
Palabra:$3xy  Frec:3  LogProb:-10.711212637803508
Palabra:$5  Frec:4  LogProb:-10.423530565351728
Palabra:$50  Frec:2  LogProb:-11.116677745911673
Palabra:$800  Frec:2  LogProb:-11.116677745911673
Palabra:$99  Frec:2  LogProb:-11.116677745911673
Palabra:$h  Frec:2  LogProb:-11.116677745911673
Palabra:$M  Frec:2  LogProb:-11.116677745911673
Palabra:$R3  Frec:2  LogProb:-11.116677745911673
Palabra:$vv3  Frec:2  LogProb:-11.116677745911673
Palabra:$w3  Frec:2  LogProb:-11.116677745911673
Palabra:$Z  Frec:2  LogProb:-11.116677745911673
Palabra:&  Frec:2  LogProb:-11.116677745911673
Palabra:&a  Frec:2  LogProb:-11.116677745911673
Palabra:'  Frec:4  LogProb:-10.423530565351728
Palabra:''  Frec:2  LogProb:-11.116677745911673
Palabra:''fake''  Frec:2  LogProb:-11.116677745911673
Palabra:''jaybee  Frec:3  LogProb:-10.711212637803508
Palabra:''people''  Frec:2  LogProb:-11.116677745911673
Palabra:''Santa  Frec:2  LogProb:-11.116677745911673
Palabra:'(  Frec:4  LogProb:-10.423530565351728
Palabra:'/  Frec:2  LogProb:-11.116677745911673
Palabra:'05  Frec:3  LogProb:-10.711212637803508
Palabra:'09  Frec:3  LogProb:-10.711212637803508
Palabra:'2012'  Frec:2  LogProb:-11.116677745911673
Palabra:'89  Frec:2  LogProb:-11.116677745911673
Palabra:'a  Frec:2  LogProb:-11.116677745911673
Palabra:'afro-centric  Frec:2  LogProb:-11.116677745911673
Palabra:'Bah  Frec:2  LogProb:-11.116677745911673
Palabra:'blah'  Frec:2  LogProb:-11.116677745911673
Palabra:'cause  Frec:5  LogProb:-10.200387014037517
Palabra:'Comedy  Frec:2  LogProb:-11.116677745911673
Palabra:'Command'  Frec:2  LogProb:-11.116677745911673
Palabra:'convince'  Frec:2  LogProb:-11.116677745911673
Palabra:'couldn't  Frec:2  LogProb:-11.116677745911673
Palabra:'cunt'  Frec:2  LogProb:-11.116677745911673
Palabra:'cuz  Frec:2  LogProb:-11.116677745911673
Palabra:'Damn  Frec:2  LogProb:-11.116677745911673
Palabra:'dick  Frec:2  LogProb:-11.116677745911673
Palabra:'em  Frec:10  LogProb:-9.507239833477573
Palabra:'fail  Frec:2  LogProb:-11.116677745911673
Palabra:'fuck  Frec:2  LogProb:-11.116677745911673
Palabra:'hate'  Frec:2  LogProb:-11.116677745911673
Palabra:'How  Frec:3  LogProb:-10.711212637803508
Palabra:'kin  Frec:2  LogProb:-11.116677745911673
Palabra:'Look  Frec:2  LogProb:-11.116677745911673
Palabra:'love'  Frec:2  LogProb:-11.116677745911673
Palabra:'m  Frec:2  LogProb:-11.116677745911673
Palabra:'meow'  Frec:2  LogProb:-11.116677745911673
Palabra:'metric  Frec:2  LogProb:-11.116677745911673
Palabra:'mummy  Frec:2  LogProb:-11.116677745911673
Palabra:'my  Frec:2  LogProb:-11.116677745911673
Palabra:'Nucks  Frec:2  LogProb:-11.116677745911673
Palabra:'O  Frec:2  LogProb:-11.116677745911673
Palabra:'oh  Frec:2  LogProb:-11.116677745911673
Palabra:'online'  Frec:2  LogProb:-11.116677745911673
Palabra:'pigpen'  Frec:2  LogProb:-11.116677745911673
Palabra:'qbarq'  Frec:2  LogProb:-11.116677745911673
Palabra:'s  Frec:4  LogProb:-10.423530565351728
Palabra:'Specially  Frec:2  LogProb:-11.116677745911673
Palabra:'spherical  Frec:2  LogProb:-11.116677745911673
Palabra:'sucks'  Frec:2  LogProb:-11.116677745911673
Palabra:'super  Frec:2  LogProb:-11.116677745911673
Palabra:'surprise'  Frec:2  LogProb:-11.116677745911673
Palabra:'sux'  Frec:2  LogProb:-11.116677745911673
Palabra:'talking  Frec:2  LogProb:-11.116677745911673
Palabra:'the  Frec:2  LogProb:-11.116677745911673
Palabra:'til  Frec:2  LogProb:-11.116677745911673
Palabra:'Twas  Frec:3  LogProb:-10.711212637803508
Palabra:'ugh  Frec:2  LogProb:-11.116677745911673
Palabra:'uncles'  Frec:2  LogProb:-11.116677745911673
Palabra:'v4sudh4'  Frec:2  LogProb:-11.116677745911673
Palabra:'Wagon'  Frec:2  LogProb:-11.116677745911673
Palabra:'YOU'  Frec:2  LogProb:-11.116677745911673
Palabra:(  Frec:206  LogProb:-6.481948757682037
Palabra:((  Frec:4  LogProb:-10.423530565351728
Palabra:(*)-)  Frec:2  LogProb:-11.116677745911673
Palabra:(*fvrd  Frec:2  LogProb:-11.116677745911673
Palabra:(+  Frec:2  LogProb:-11.116677745911673
Palabra:(+ur3  Frec:2  LogProb:-11.116677745911673
Palabra:(-_-)  Frec:2  LogProb:-11.116677745911673
Palabra:(=<454333  Frec:2  LogProb:-11.116677745911673
Palabra:(=twitter  Frec:2  LogProb:-11.116677745911673
Palabra:(hugs)  Frec:2  LogProb:-11.116677745911673
Palabra:)  Frec:600  LogProb:-5.412895271255472
Palabra:))  Frec:12  LogProb:-9.324918276683619
Palabra:)))  Frec:10  LogProb:-9.507239833477573
Palabra:)))))))))))))))))))))  Frec:2  LogProb:-11.116677745911673
Palabra:)hahagreat  Frec:2  LogProb:-11.116677745911673
Palabra:)r  Frec:3  LogProb:-10.711212637803508
Palabra:)so  Frec:2  LogProb:-11.116677745911673
Palabra:)~  Frec:2  LogProb:-11.116677745911673
Palabra:*  Frec:4  LogProb:-10.423530565351728
Palabra:*$0  Frec:2  LogProb:-11.116677745911673
Palabra:**  Frec:4  LogProb:-10.423530565351728
Palabra:******************MEOWWW*************************  Frec:2  LogProb:-11.116677745911673
Palabra:**spontaneously  Frec:2  LogProb:-11.116677745911673
Palabra:*-*  Frec:2  LogProb:-11.116677745911673
Palabra:*already*  Frec:2  LogProb:-11.116677745911673
Palabra:*are*  Frec:2  LogProb:-11.116677745911673
Palabra:*bitch*  Frec:2  LogProb:-11.116677745911673
Palabra:*buat  Frec:2  LogProb:-11.116677745911673
Palabra:*can*  Frec:2  LogProb:-11.116677745911673
Palabra:*clings*  Frec:2  LogProb:-11.116677745911673
Palabra:*cough*  Frec:3  LogProb:-10.711212637803508
Palabra:*cuts  Frec:2  LogProb:-11.116677745911673
Palabra:*delicious*  Frec:2  LogProb:-11.116677745911673
Palabra:*didn't*  Frec:2  LogProb:-11.116677745911673
Palabra:*eats  Frec:2  LogProb:-11.116677745911673
Palabra:*ever*  Frec:2  LogProb:-11.116677745911673
Palabra:*exists*  Frec:2  LogProb:-11.116677745911673
Palabra:*FAINTS*  Frec:2  LogProb:-11.116677745911673
Palabra:*Feel*  Frec:2  LogProb:-11.116677745911673
Palabra:*gasps*  Frec:2  LogProb:-11.116677745911673
Palabra:*gesticulates  Frec:2  LogProb:-11.116677745911673
Palabra:*grumbles*  Frec:3  LogProb:-10.711212637803508
Palabra:*hehe*  Frec:2  LogProb:-11.116677745911673
Palabra:*hugs*  Frec:5  LogProb:-10.200387014037517
Palabra:*if*  Frec:2  LogProb:-11.116677745911673
Palabra:*it*  Frec:2  LogProb:-11.116677745911673
Palabra:*jaw  Frec:2  LogProb:-11.116677745911673
Palabra:*jealous*  Frec:2  LogProb:-11.116677745911673
