Número de documentos del corpus:6741
Número de palabras del corpus:96154
Palabra:!  Frec:4213  LogProb:-3.2466378306434085
Palabra:#  Frec:4  LogProb:-10.206273731502534
Palabra:#1  Frec:3  LogProb:-10.493955803954316
Palabra:#2  Frec:3  LogProb:-10.493955803954316
Palabra:#ALB  Frec:4  LogProb:-10.206273731502534
Palabra:#bad_wookie_pun  Frec:3  LogProb:-10.493955803954316
Palabra:#business  Frec:4  LogProb:-10.206273731502534
Palabra:#canadawest  Frec:3  LogProb:-10.493955803954316
Palabra:#damn-fridays  Frec:3  LogProb:-10.493955803954316
Palabra:#dead_by_january_i_didnt_sign_up_for_this_shit  Frec:4  LogProb:-10.206273731502534
Palabra:#design  Frec:3  LogProb:-10.493955803954316
Palabra:#down-ass-bitches  Frec:3  LogProb:-10.493955803954316
Palabra:#entertainment  Frec:3  LogProb:-10.493955803954316
Palabra:#Gaza  Frec:3  LogProb:-10.493955803954316
Palabra:#green  Frec:3  LogProb:-10.493955803954316
Palabra:#LeWeb  Frec:3  LogProb:-10.493955803954316
Palabra:#NAME  Frec:13  LogProb:-9.027618735160889
Palabra:#nerd  Frec:3  LogProb:-10.493955803954316
Palabra:#NH  Frec:7  LogProb:-9.646657943567112
Palabra:#Paypal  Frec:4  LogProb:-10.206273731502534
Palabra:#socialmedia  Frec:3  LogProb:-10.493955803954316
Palabra:#supergay  Frec:3  LogProb:-10.493955803954316
Palabra:#tcot  Frec:7  LogProb:-9.646657943567112
Palabra:#twitpanto  Frec:5  LogProb:-9.983130180188324
Palabra:#WUW  Frec:4  LogProb:-10.206273731502534
Palabra:$$$$  Frec:3  LogProb:-10.493955803954316
Palabra:$$H  Frec:2  LogProb:-10.89942091206248
Palabra:$10  Frec:3  LogProb:-10.493955803954316
Palabra:$1200  Frec:4  LogProb:-10.206273731502534
Palabra:$260  Frec:3  LogProb:-10.493955803954316
Palabra:$4k  Frec:4  LogProb:-10.206273731502534
Palabra:$50  Frec:4  LogProb:-10.206273731502534
Palabra:$60  Frec:4  LogProb:-10.206273731502534
