Número de documentos del corpus:6052
Número de palabras del corpus:62887
Palabra:!  Frec:1834  LogProb:-3.661994554721775
Palabra:#NAME  Frec:2  LogProb:-10.48310202697824
Palabra:#oldschoolftw  Frec:2  LogProb:-10.48310202697824
Palabra:#Random  Frec:2  LogProb:-10.48310202697824
Palabra:$  Frec:2  LogProb:-10.48310202697824
Palabra:$$  Frec:2  LogProb:-10.48310202697824
Palabra:$$$$  Frec:2  LogProb:-10.48310202697824
Palabra:$1  Frec:3  LogProb:-10.077636918870075
Palabra:$100  Frec:3  LogProb:-10.077636918870075
Palabra:$1000  Frec:2  LogProb:-10.48310202697824
Palabra:$3$  Frec:2  LogProb:-10.48310202697824
Palabra:$3D  Frec:2  LogProb:-10.48310202697824
Palabra:$3x  Frec:3  LogProb:-10.077636918870075
Palabra:$3xy  Frec:3  LogProb:-10.077636918870075
Palabra:$50  Frec:2  LogProb:-10.48310202697824
Palabra:$h  Frec:2  LogProb:-10.48310202697824
Palabra:$M  Frec:2  LogProb:-10.48310202697824
Palabra:$R3  Frec:2  LogProb:-10.48310202697824
Palabra:$vv3  Frec:2  LogProb:-10.48310202697824
Palabra:$w3  Frec:2  LogProb:-10.48310202697824
Palabra:$Z  Frec:2  LogProb:-10.48310202697824
Palabra:'  Frec:2  LogProb:-10.48310202697824
Palabra:''  Frec:2  LogProb:-10.48310202697824
Palabra:''fake''  Frec:2  LogProb:-10.48310202697824
Palabra:''jaybee  Frec:3  LogProb:-10.077636918870075
Palabra:''people''  Frec:2  LogProb:-10.48310202697824
Palabra:'(  Frec:2  LogProb:-10.48310202697824
Palabra:'2012'  Frec:2  LogProb:-10.48310202697824
Palabra:'cause  Frec:3  LogProb:-10.077636918870075
Palabra:'Damn  Frec:2  LogProb:-10.48310202697824
Palabra:'em  Frec:3  LogProb:-10.077636918870075
Palabra:'Look  Frec:2  LogProb:-10.48310202697824
Palabra:'m  Frec:2  LogProb:-10.48310202697824
Palabra:'O  Frec:2  LogProb:-10.48310202697824
Palabra:'YOU'  Frec:2  LogProb:-10.48310202697824
Palabra:(  Frec:133  LogProb:-6.2859000793164315
Palabra:((  Frec:4  LogProb:-9.789954846418295
Palabra:(*)-)  Frec:2  LogProb:-10.48310202697824
Palabra:(+ur3  Frec:2  LogProb:-10.48310202697824
Palabra:(-_-)  Frec:2  LogProb:-10.48310202697824
Palabra:(=<454333  Frec:2  LogProb:-10.48310202697824
Palabra:)  Frec:410  LogProb:-5.160092047839831
Palabra:))  Frec:10  LogProb:-8.87366411454414
Palabra:)))  Frec:10  LogProb:-8.87366411454414
Palabra:)))))))))))))))))))))  Frec:2  LogProb:-10.48310202697824
Palabra:)hahagreat  Frec:2  LogProb:-10.48310202697824
Palabra:)r  Frec:3  LogProb:-10.077636918870075
Palabra:)so  Frec:2  LogProb:-10.48310202697824
Palabra:*  Frec:3  LogProb:-10.077636918870075
Palabra:**  Frec:4  LogProb:-9.789954846418295
Palabra:******************MEOWWW*************************  Frec:2  LogProb:-10.48310202697824
Palabra:*-*  Frec:2  LogProb:-10.48310202697824
Palabra:*cough*  Frec:3  LogProb:-10.077636918870075
Palabra:*ever*  Frec:2  LogProb:-10.48310202697824
Palabra:*lover  Frec:2  LogProb:-10.48310202697824
Palabra:*not*  Frec:2  LogProb:-10.48310202697824
Palabra:*phoebe  Frec:2  LogProb:-10.48310202697824
Palabra:*POOF*  Frec:2  LogProb:-10.48310202697824
Palabra:*RAWR*  Frec:2  LogProb:-10.48310202697824
Palabra:*runs  Frec:2  LogProb:-10.48310202697824
Palabra:*sigh*  Frec:2  LogProb:-10.48310202697824
Palabra:*thinkin*  Frec:2  LogProb:-10.48310202697824
Palabra:*wear*  Frec:2  LogProb:-10.48310202697824
Palabra:*wearr  Frec:2  LogProb:-10.48310202697824
Palabra:*yawn*  Frec:2  LogProb:-10.48310202697824
Palabra:*ywan*  Frec:2  LogProb:-10.48310202697824
Palabra:+  Frec:18  LogProb:-8.28587744964202
Palabra:+$  Frec:2  LogProb:-10.48310202697824
Palabra:+0  Frec:2  LogProb:-10.48310202697824
Palabra:+H  Frec:3  LogProb:-10.077636918870075
Palabra:+hrobb  Frec:2  LogProb:-10.48310202697824
Palabra:-  Frec:7  LogProb:-9.230339058482873
Palabra:-)  Frec:4  LogProb:-9.789954846418295
Palabra:--  Frec:2  LogProb:-10.48310202697824
Palabra:--Sam  Frec:2  LogProb:-10.48310202697824
Palabra:->>  Frec:2  LogProb:-10.48310202697824
Palabra:-_-  Frec:4  LogProb:-9.789954846418295
Palabra:-_-'  Frec:2  LogProb:-10.48310202697824
Palabra:-__-  Frec:2  LogProb:-10.48310202697824
Palabra:-AkA-  Frec:2  LogProb:-10.48310202697824
Palabra:-ChloroformGRL  Frec:2  LogProb:-10.48310202697824
Palabra:-dakota  Frec:2  LogProb:-10.48310202697824
Palabra:-Haa  Frec:2  LogProb:-10.48310202697824
Palabra:-Hellz  Frec:2  LogProb:-10.48310202697824
Palabra:-Kinly  Frec:2  LogProb:-10.48310202697824
Palabra:-NOT-  Frec:2  LogProb:-10.48310202697824
Palabra:-P  Frec:2  LogProb:-10.48310202697824
Palabra:-question-  Frec:2  LogProb:-10.48310202697824
Palabra:-rape-  Frec:2  LogProb:-10.48310202697824
Palabra:-Remz  Frec:2  LogProb:-10.48310202697824
Palabra:-with  Frec:2  LogProb:-10.48310202697824
Palabra:-woaahhhhhh  Frec:2  LogProb:-10.48310202697824
Palabra:/  Frec:35  LogProb:-7.620901146048771
Palabra:/nerd  Frec:2  LogProb:-10.48310202697824
Palabra:/u00bfPodru00edais  Frec:2  LogProb:-10.48310202697824
Palabra:0_0  Frec:2  LogProb:-10.48310202697824
Palabra:0_o  Frec:2  LogProb:-10.48310202697824
Palabra:0N  Frec:2  LogProb:-10.48310202697824
Palabra:0rq  Frec:3  LogProb:-10.077636918870075
Palabra:0u$  Frec:2  LogProb:-10.48310202697824
Palabra:1-10  Frec:4  LogProb:-9.789954846418295
Palabra:1-5  Frec:3  LogProb:-10.077636918870075
Palabra:1-800-  Frec:2  LogProb:-10.48310202697824
Palabra:100%  Frec:2  LogProb:-10.48310202697824
Palabra:1000+questions  Frec:2  LogProb:-10.48310202697824
Palabra:10ish  Frec:2  LogProb:-10.48310202697824
Palabra:15-20  Frec:2  LogProb:-10.48310202697824
Palabra:16-04-2010  Frec:2  LogProb:-10.48310202697824
Palabra:160gb  Frec:2  LogProb:-10.48310202697824
Palabra:17th  Frec:3  LogProb:-10.077636918870075
Palabra:18+  Frec:2  LogProb:-10.48310202697824
Palabra:18r  Frec:2  LogProb:-10.48310202697824
Palabra:18th  Frec:2  LogProb:-10.48310202697824
Palabra:19north's  Frec:2  LogProb:-10.48310202697824
Palabra:19th  Frec:2  LogProb:-10.48310202697824
Palabra:2(  Frec:2  LogProb:-10.48310202697824
Palabra:20min  Frec:2  LogProb:-10.48310202697824
Palabra:22nd<3  Frec:2  LogProb:-10.48310202697824
Palabra:24/7  Frec:2  LogProb:-10.48310202697824
Palabra:27th  Frec:2  LogProb:-10.48310202697824
Palabra:2days  Frec:2  LogProb:-10.48310202697824
Palabra:2gether  Frec:2  LogProb:-10.48310202697824
Palabra:2many  Frec:2  LogProb:-10.48310202697824
Palabra:2much  Frec:3  LogProb:-10.077636918870075
Palabra:2nd  Frec:3  LogProb:-10.077636918870075
Palabra:2O1O<3  Frec:2  LogProb:-10.48310202697824
Palabra:2to  Frec:2  LogProb:-10.48310202697824
Palabra:3-6  Frec:2  LogProb:-10.48310202697824
Palabra:300$  Frec:2  LogProb:-10.48310202697824
Palabra:300+  Frec:2  LogProb:-10.48310202697824
Palabra:30in  Frec:2  LogProb:-10.48310202697824
Palabra:360gb's  Frec:2  LogProb:-10.48310202697824
Palabra:38C  Frec:2  LogProb:-10.48310202697824
Palabra:3am  Frec:2  LogProb:-10.48310202697824
Palabra:3oh  Frec:3  LogProb:-10.077636918870075
Palabra:3rd  Frec:3  LogProb:-10.077636918870075
Palabra:3v  Frec:3  LogProb:-10.077636918870075
Palabra:3xc3rc  Frec:2  LogProb:-10.48310202697824
Palabra:4-5  Frec:2  LogProb:-10.48310202697824
Palabra:4/20  Frec:2  LogProb:-10.48310202697824
Palabra:4sho  Frec:2  LogProb:-10.48310202697824
Palabra:4shuree  Frec:2  LogProb:-10.48310202697824
Palabra:4suree  Frec:2  LogProb:-10.48310202697824
Palabra:5'1  Frec:2  LogProb:-10.48310202697824
Palabra:5'6  Frec:2  LogProb:-10.48310202697824
Palabra:5'9  Frec:2  LogProb:-10.48310202697824
Palabra:512k  Frec:2  LogProb:-10.48310202697824
Palabra:53x  Frec:2  LogProb:-10.48310202697824
Palabra:54pm  Frec:2  LogProb:-10.48310202697824
Palabra:5am  Frec:2  LogProb:-10.48310202697824
Palabra:5yrs  Frec:2  LogProb:-10.48310202697824
