Número de documentos del corpus:3303
Número de palabras del corpus:48151
Palabra:!  Frec:2021  LogProb:-3.3337936899633345
Palabra:#  Frec:2  LogProb:-10.25199422680701
Palabra:#1  Frec:2  LogProb:-10.25199422680701
Palabra:#2  Frec:2  LogProb:-10.25199422680701
Palabra:#ALB  Frec:2  LogProb:-10.25199422680701
Palabra:#bad_wookie_pun  Frec:2  LogProb:-10.25199422680701
Palabra:#business  Frec:2  LogProb:-10.25199422680701
Palabra:#canadawest  Frec:2  LogProb:-10.25199422680701
Palabra:#damn-fridays  Frec:2  LogProb:-10.25199422680701
Palabra:#dead_by_january_i_didnt_sign_up_for_this_shit  Frec:2  LogProb:-10.25199422680701
Palabra:#design  Frec:2  LogProb:-10.25199422680701
Palabra:#down-ass-bitches  Frec:2  LogProb:-10.25199422680701
Palabra:#entertainment  Frec:2  LogProb:-10.25199422680701
Palabra:#Gaza  Frec:2  LogProb:-10.25199422680701
Palabra:#green  Frec:2  LogProb:-10.25199422680701
Palabra:#LeWeb  Frec:2  LogProb:-10.25199422680701
Palabra:#NAME  Frec:7  LogProb:-8.999231258311642
Palabra:#nerd  Frec:2  LogProb:-10.25199422680701
Palabra:#NH  Frec:5  LogProb:-9.335703494932854
Palabra:#Paypal  Frec:2  LogProb:-10.25199422680701
Palabra:#socialmedia  Frec:2  LogProb:-10.25199422680701
Palabra:#supergay  Frec:2  LogProb:-10.25199422680701
Palabra:#tcot  Frec:3  LogProb:-9.846529118698847
Palabra:#twitpanto  Frec:3  LogProb:-9.846529118698847
Palabra:#WUW  Frec:3  LogProb:-9.846529118698847
Palabra:$$$$  Frec:2  LogProb:-10.25199422680701
Palabra:$$H  Frec:2  LogProb:-10.25199422680701
Palabra:$10  Frec:2  LogProb:-10.25199422680701
Palabra:$1200  Frec:3  LogProb:-9.846529118698847
Palabra:$260  Frec:2  LogProb:-10.25199422680701
Palabra:$4k  Frec:2  LogProb:-10.25199422680701
Palabra:$50  Frec:2  LogProb:-10.25199422680701
Palabra:$60  Frec:2  LogProb:-10.25199422680701
Palabra:$7  Frec:3  LogProb:-9.846529118698847
Palabra:$8  Frec:2  LogProb:-10.25199422680701
Palabra:&bring  Frec:2  LogProb:-10.25199422680701
Palabra:&brother  Frec:2  LogProb:-10.25199422680701
Palabra:&just  Frec:2  LogProb:-10.25199422680701
Palabra:'  Frec:6  LogProb:-9.153381938138901
Palabra:'(  Frec:6  LogProb:-9.153381938138901
Palabra:'93  Frec:2  LogProb:-10.25199422680701
Palabra:'Buffy'  Frec:2  LogProb:-10.25199422680701
Palabra:'Cause  Frec:2  LogProb:-10.25199422680701
Palabra:'cuz  Frec:2  LogProb:-10.25199422680701
Palabra:'damn  Frec:3  LogProb:-9.846529118698847
Palabra:'defend'  Frec:2  LogProb:-10.25199422680701
Palabra:'dumbfuck'  Frec:2  LogProb:-10.25199422680701
Palabra:'em  Frec:6  LogProb:-9.153381938138901
Palabra:'firsts'  Frec:2  LogProb:-10.25199422680701
Palabra:'fuck  Frec:2  LogProb:-10.25199422680701
Palabra:'fuck'  Frec:2  LogProb:-10.25199422680701
Palabra:'gezegt'  Frec:2  LogProb:-10.25199422680701
Palabra:'good  Frec:2  LogProb:-10.25199422680701
Palabra:'hun'  Frec:2  LogProb:-10.25199422680701
Palabra:'I  Frec:2  LogProb:-10.25199422680701
Palabra:'in  Frec:3  LogProb:-9.846529118698847
Palabra:'Morning  Frec:2  LogProb:-10.25199422680701
Palabra:'NAM  Frec:2  LogProb:-10.25199422680701
Palabra:'net  Frec:2  LogProb:-10.25199422680701
Palabra:'Oh  Frec:4  LogProb:-9.558847046247065
